n,Sample_ID,Date,Date_n,C_species,C_species_n,Site,Location,Location_n,Pool_type,d13C,F14C,1sig_a,C14_age,1sig_b,C14_input,young_soln,young_soln+sd,young_soln-sd,old_soln,old_soln+sd,old_soln-sd,p_10y,p_50y,p_100y,p_300y,p_500y,p_1000y
25,P9-POC-051114,05/11/2014,Nov-14,POC,b,P09,Cross Lochs,a,Restoration,-27.451,1.014925,0.00464,NA,NA,ranges2014-10ky,NA,NA,NA,206.84,194.27,223.55,3.3,15.43,28.4745,63.4083,81.28,96.4956
26,P10-POC-051114,05/11/2014,Nov-14,POC,b,P10,Cross Lochs,a,Restoration,-27.384,1.027126,0.004475,NA,NA,ranges2014-10ky,NA,NA,NA,163.11,0.81,171.08,4.16,19.14,34.6196,72.0525,88.0536,98.5728
27,PO3 EB-CH4,05/11/2014,Nov-14,CH4,e,P03,Cross Lochs,a,Natural,-65.3,1.025183,0.00468,NA,NA,ranges2014-10ky,NA,NA,NA,166.67,0.6,192.52,4.07,18.77,34.0245,71.2824,87.4999,98.4375
28,PO5 EB-CH4,05/11/2014,Nov-14,CH4,e,P05,Cross Lochs,a,Natural,-65.7,1.075819,0.004939,NA,NA,ranges2014-10ky,6.39,6.92,5.87,83.03,77.43,88.24,8.01,34.13,56.606,91.8288,98.4613,99.9763
29,P11 EB-CH4,05/11/2014,Nov-14,CH4,e,P11,Cross Lochs,a,Restoration,-67,1.030602,0.004708,NA,NA,ranges2014-10ky,0.69,1.31,165.38,156.52,147.35,NA,4.33,19.86,35.7799,73.5142,89.0767,98.8068
30,LL11-CO2-041114,04/11/2014,Nov-14,CO2,c,LL11,Loch Leir,b,Restoration,-13.667,0.978477,0.004495,175,37,ranges2014-10ky,NA,NA,NA,362.73,328.64,331.94,1.89,9.11,17.3943,43.6324,61.5365,85.2056
31,LL08-CO2-041114,04/11/2014,Nov-14,CO2,c,LL08,Loch Leir,b,Restoration,-20.535,1.044783,0.004573,NA,NA,ranges2014-10ky,2.69,3.33,2.02,132.94,123.32,143.96,5.08,22.95,40.6299,79.0732,92.6237,99.4559
32,LL02-CO2-041114,04/11/2014,Nov-14,CO2,c,LL02,Loch Leir,b,Natural,-10.888,1.012878,0.004418,NA,NA,ranges2014-10ky,NA,NA,NA,213.92,199.14,205.49,3.19,14.96,27.6761,62.1692,80.2117,96.0842
33,LL03-CO2-041114,04/11/2014,Nov-14,CO2,c,LL03,Loch Leir,b,Natural,-11.74,1.018685,0.004438,NA,NA,ranges2014-10ky,NA,NA,NA,195.85,170.28,209.14,3.48,16.22,29.8062,65.4144,82.9591,97.0961
34,P6-CO2-051114,05/11/2014,Nov-14,CO2,c,P06,Cross Lochs,a,Natural,-14.487,1.027341,0.004711,NA,NA,ranges2014-10ky,NA,NA,NA,162.71,0.87,171.12,4.17,19.18,34.6879,72.14,88.1159,98.5877
35,P4-CO2-051114,05/11/2014,Nov-14,CO2,c,P04,Cross Lochs,a,Natural,-12.974,1.018614,0.004686,NA,NA,ranges2014-10ky,NA,NA,NA,195.98,169.98,210.24,3.48,16.21,29.7905,65.391,82.9399,97.0895
36,P7-CO2-051114,05/11/2014,Nov-14,CO2,c,P07,Cross Lochs,a,Restoration,-11.281,1.021786,0.004452,NA,NA,ranges2014-10ky,NA,NA,NA,172.52,164.75,199.02,3.94,18.2,33.0867,70.0403,86.5859,98.2006
37,P9-CO2-051114,05/11/2014,Nov-14,CO2,c,P09,Cross Lochs,a,Restoration,-15.309,1.031845,0.004743,NA,NA,ranges2014-10ky,0.85,1.49,163.16,154.11,143.78,NA,4.4,20.14,36.2223,74.0578,89.4478,98.8865
38,P10-CO2-051114,05/11/2014,Nov-14,CO2,c,P10,Cross Lochs,a,Restoration,-18.371,1.032916,0.004507,NA,NA,ranges2014-10ky,0.99,1.61,160.71,152.03,141.33,NA,4.46,20.38,36.6143,74.5332,89.7681,98.9531
39,PO3 EB-CO2,05/11/2014,Nov-14,CO2,d,P03,Cross Lochs,a,Natural,-7.5,1.016847,0.004454,NA,NA,ranges2014-10ky,NA,NA,NA,200.56,173.31,215.67,3.4,15.87,29.2208,64.5418,82.2365,96.8446
40,LL11-DOC-041114,04/11/2014,Nov-14,DOC,a,LL11,Loch Leir,b,Restoration,-28.664,1.080651,0.004936,NA,NA,ranges2014-10ky,6.91,7.44,6.39,77.55,72.31,83.15,8.55,36.04,59.0913,93.1538,98.8543,99.9869
41,LL08-DOC-041114,04/11/2014,Nov-14,DOC,a,LL08,Loch Leir,b,Restoration,-29.112,1.067301,0.00488,NA,NA,ranges2014-10ky,5.48,6.01,4.94,92.96,86.59,100.51,7.19,31.12,52.5588,89.3226,97.5969,99.9422
